to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.050818527956084526	0.8136886429635228	0.8123521003543555	0.18631135703647658	0.18764789964564443	0.0	0.0
0.01	0.05162479507990162	0.05307064438480942	0.8136886429635228	0.8123521003543555	0.18746602063166926	0.18975255199181482	0.006197494417726826	0.011215965380613492
0.02	0.05423685063112724	0.05777567876634518	0.8136886429635228	0.8123521003543555	0.1920755577704602	0.197920613516173	0.030938536574853508	0.054744624852863355
0.03	0.05760306761676365	0.06469514956201321	0.8136886429635228	0.8123521003543555	0.19963485924306612	0.21207599631360488	0.07151202384286763	0.1301804960998265
0.04	0.06165613108690002	0.07553940738624447	0.8136886429635228	0.8123521003543555	0.20938329696666744	0.23338690733243866	0.12383539198672555	0.2437491054958147
0.05	0.0665475806252845	0.0972207944454668	0.8136886429635228	0.8123521003543555	0.22110592024048967	0.268519938218544	0.18675492335768293	0.43097758475111553
0.06	0.07259488132707494	0.21481671184210868	0.8136886429635228	0.8123521003543555	0.23506202886700125	0.36444834667718734	0.2616623731691253	0.9421925178241487
0.07	0.08037542949913253	2.245878946602766	0.8136886429635228	0.8123521003543555	0.2519666524145291	0.890467504726425	0.35239556204401606	3.7454168493651667
0.08	0.09101053457705949	6.198855534015195	0.8136886429635228	0.8123521003543555	0.2732103165426155	0.9648568247026699	0.46641794085116134	4.141847185738354
0.09	0.10698603575005734	8.196567977343088	0.8136886429635228	0.8123521003543555	0.3015673947828437	0.9738103992456054	0.6186205692431406	4.189561945987967
0.1	0.13508346296526447	8.247465048510978	0.8136886429635228	0.8123521003543555	0.3433660367453759	0.9740156129046598	0.8429689000555705	4.190655556198591
